人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,状態,状態の開始日,底本名,出版社名,作品名読み,原題,XHTML/HTMLファイルURL
1257,アーヴィング ワシントン,59898,ウェストミンスター寺院,新字新仮名,吉田 甲子太郎,公開,2020-04-03,スケッチ・ブック,新潮文庫、新潮社,ウェストミンスターじいん,,https://www.aozora.gr.jp/cards/001257/files/59898_70731.html
1257,アーヴィング ワシントン,56078,駅伝馬車,旧字旧仮名,高垣 松雄,公開,2013-09-20,スケッチ・ブック,岩波文庫、岩波書店,えきでんばしゃ,,https://www.aozora.gr.jp/cards/001257/files/56078_51422.html
1257,アーヴィング ワシントン,60224,駅馬車,新字新仮名,吉田 甲子太郎,公開,2021-05-18,スケッチ・ブック,新潮文庫、新潮社,えきばしゃ,,https://www.aozora.gr.jp/cards/001257/files/60224_73212.html
1257,アーヴィング ワシントン,60225,寡婦とその子,新字新仮名,吉田 甲子太郎,公開,2021-10-16,スケッチ・ブック,新潮文庫、新潮社,かふとそのこ,,https://www.aozora.gr.jp/cards/001257/files/60225_74217.html
1257,アーヴィング ワシントン,56033,クリスマス・イーヴ,旧字旧仮名,高垣 松雄,公開,2013-08-08,スケッチ・ブック,岩波文庫、岩波書店,クリスマス・イーヴ,,https://www.aozora.gr.jp/cards/001257/files/56033_50983.html
1257,アーヴィング ワシントン,60230,わたくし自身について,新字新仮名,吉田 甲子太郎,公開,2021-04-03,スケッチ・ブック,新潮文庫、新潮社,わたくしじしんについて,,https://www.aozora.gr.jp/cards/001257/files/60230_73013.html
1657,アークム フレデリック,54333,食品の混ぜ物処理および調理の毒物（1820）,新字新仮名,水上 茂樹,公開,2011-11-21,,,しょくひんのまぜものしょりおよびちょうりのどくぶつ（せんはっぴゃくにじゅう）,"A TREATISE ON ADULTERATIONS OF FOOD, AND CULINARY POISONS (1820)",https://www.aozora.gr.jp/cards/001657/files/54333_67472.html
1245,会津 八一,46511,一片の石,新字旧仮名,,公開,2007-01-03,日本の名随筆88　石,作品社,いっぺんのいし,,https://www.aozora.gr.jp/cards/001245/files/46511_25607.html
1245,会津 八一,57975,音楽に就いて,旧字旧仮名,,公開,2017-11-21,會津八一全集　第七卷,中央公論社,おんがくについて,,https://www.aozora.gr.jp/cards/001245/files/57975_63084.html
1245,会津 八一,57976,学規,旧字旧仮名,,公開,2017-07-01,會津八一全集　第七卷,中央公論社,がくき,,https://www.aozora.gr.jp/cards/001245/files/57976_61955.html
1245,会津 八一,46512,菊の根分をしながら,新字旧仮名,,公開,2007-01-03,花の名随筆3　三月の花,作品社,きくのねわけをしながら,,https://www.aozora.gr.jp/cards/001245/files/46512_25608.html
1245,会津 八一,46513,支那の明器,新字旧仮名,,公開,2007-01-03,日本の名随筆　別巻9　骨董,作品社,しなのめいき,,https://www.aozora.gr.jp/cards/001245/files/46513_25609.html
1245,会津 八一,58663,趣味の修養,旧字旧仮名,,公開,2018-11-21,會津八一全集　第七卷,中央公論社,しゅみのしゅうよう,,https://www.aozora.gr.jp/cards/001245/files/58663_66335.html
1245,会津 八一,57978,少年少女におくる言葉,旧字旧仮名,,公開,2017-07-01,會津八一全集　第七卷,中央公論社,しょうねんしょうじょにおくることば,,https://www.aozora.gr.jp/cards/001245/files/57978_61952.html
1245,会津 八一,58664,綜合大学の図書,旧字旧仮名,,公開,2019-08-01,會津八一全集　第七卷,中央公論社,そうごうだいがくのとしょ,,https://www.aozora.gr.jp/cards/001245/files/58664_68740.html
1245,会津 八一,58665,綜合大学を迎へて,旧字旧仮名,,公開,2019-11-21,會津八一全集　第七卷,中央公論社,そうごうだいがくをむかえて,,https://www.aozora.gr.jp/cards/001245/files/58665_69580.html
1245,会津 八一,58666,大学とその総長,旧字旧仮名,,公開,2019-11-21,會津八一全集　第七卷,中央公論社,だいがくとそのそうちょう,,https://www.aozora.gr.jp/cards/001245/files/58666_69579.html
1245,会津 八一,46514,拓本の話,旧字旧仮名,,公開,2007-01-01,日本の名随筆27　墨,作品社,たくほんのはなし,,https://www.aozora.gr.jp/cards/001245/files/46514_25610.html
1428,アインシュタイン アルベルト,50328,相対性理論,新字新仮名,石原 純,公開,2018-04-18,世界大思想全集　48,春秋社,そうたいせいりろん,,https://www.aozora.gr.jp/cards/001428/files/50328_64360.html
374,饗庭 篁村,56014,木曽道中記,旧字旧仮名,,公開,2019-06-20,明治文學全集　94　明治紀行文學集,筑摩書房,きそどうちゅうき,,https://www.aozora.gr.jp/cards/000374/files/56014_68264.html
374,饗庭 篁村,47032,隅田の春,新字旧仮名,,公開,2008-08-02,明治の文学　第13巻　饗庭篁村,筑摩書房,すみだのはる,,https://www.aozora.gr.jp/cards/000374/files/47032_31783.html
374,饗庭 篁村,45754,良夜,新字新仮名,,公開,2006-09-25,新潟県文学全集　第1巻　明治編,郷土出版社,りょうや,,https://www.aozora.gr.jp/cards/000374/files/45754_23935.html
330,青木 栄瞳,900,野性のセロリ,新字新仮名,,公開,1998-02-26,生原稿,,やせいのセロリ,,http://www.longtail.co.jp/eime/
2091,青木 正児,59877,九年母,新字新仮名,,公開,2019-12-02,「あまカラ」抄2,冨山房百科文庫、冨山房,くねんぼ,,https://www.aozora.gr.jp/cards/002091/files/59877_69720.html
1790,青空文庫 ,56572,青空文庫の提案,新字新仮名,,公開,2014-01-01,,,あおぞらぶんこのていあん,,https://www.aozora.gr.jp/cards/001790/files/56572_51810.html
1542,青野 季吉,52214,百万人のそして唯一人の文学,新字旧仮名,,公開,2012-01-01,現代日本文學大系　54　片上伸　平林初之輔　青野季吉　宮本顯治　藏原惟人集,筑摩書房,ひゃくまんにんのそしてただひとりのぶんがく,,https://www.aozora.gr.jp/cards/001542/files/52214_46221.html
1314,青柳 喜兵衛,47604,夢の如く出現した彼,新字新仮名,,公開,2008-12-09,「探偵」傑作選　幻の探偵雑誌9,光文社文庫、光文社,ゆめのごとくしゅつげんしたかれ,,https://www.aozora.gr.jp/cards/001314/files/47604_33427.html
1584,秋田 雨雀,53182,三人の百姓,新字新仮名,,公開,2013-01-01,日本児童文学名作集（下）,岩波文庫、岩波書店,さんにんのひゃくしょう,,https://www.aozora.gr.jp/cards/001584/files/53182_49659.html
1162,秋田 滋,43837,ある自殺者の手記,新字新仮名,秋田 滋,公開,2006-05-26,モオパツサン短篇集　色ざんげ　他十篇,改造文庫、改造社出版,あるじさつしゃのしゅき,SUICIDES,https://www.aozora.gr.jp/cards/000903/files/43837_23037.html
